Rating,Gender,Age,Occupation
4,M,35,15
3,M,25,12
4,F,35,1
3,M,50,1
4,M,35,12
4,M,35,0
3,M,25,20
3,M,25,4
2,F,25,4
2,M,18,0
3,M,25,17
3,M,25,16
5,M,45,12
4,M,18,14
5,M,25,14
4,M,45,7
5,M,25,2
2,M,18,4
4,M,50,0
1,M,56,20
4,M,45,0
5,M,50,1
3,M,18,15
2,M,35,1
2,M,18,4
4,M,35,17
5,M,25,1
3,M,25,5
4,M,18,4
3,F,50,1
3,F,1,10
4,F,25,0
4,M,35,4
4,F,45,1
1,M,18,20
4,M,35,15
4,M,25,16
5,F,25,0
4,M,45,17
3,M,35,17
5,M,25,0
3,M,18,4
5,M,18,20
5,M,25,20
4,M,35,17
5,M,25,7
4,M,25,15
4,F,18,4
4,F,25,0
4,M,18,20
4,M,18,4
5,M,56,7
4,M,50,1
5,M,50,12
1,M,35,15
4,M,18,4
2,M,35,20
3,M,25,5
4,F,18,4
4,M,25,7
4,M,25,7
4,F,35,16
3,M,25,2
4,M,18,0
3,M,35,2
3,M,35,2
4,M,18,14
4,M,45,1
5,F,56,6
2,M,35,1
4,F,18,4
5,M,18,3
3,M,25,0
5,M,25,0
2,M,25,3
3,M,50,1
5,F,18,4
3,M,25,0
3,M,25,14
3,M,35,1
3,M,45,7
4,M,25,17
4,M,25,18
4,M,35,7
3,M,35,12
3,M,25,0
2,F,18,4
1,M,45,3
3,M,25,7
5,M,25,0
2,F,35,16
5,M,25,1
3,F,45,1
4,M,25,4
5,M,56,7
4,M,25,4
2,M,25,11
5,F,18,4
4,M,56,13
5,F,35,3
2,M,25,7
4,M,25,17
4,F,45,3
5,M,18,12
5,M,18,17
2,M,25,5
4,M,1,10
5,F,25,4
4,F,25,1
3,M,35,1
2,M,18,16
5,M,1,0
5,M,25,17
4,M,56,1
4,F,1,10
3,M,35,15
3,F,45,2
3,M,35,16
4,M,50,11
1,M,25,7
4,M,25,12
4,M,25,0
4,M,18,14
2,M,45,15
4,M,18,3
5,M,50,6
3,M,45,12
4,M,25,16
5,F,25,3
4,F,25,3
4,F,25,20
3,M,25,11
4,M,18,4
3,M,18,4
5,M,18,4
3,M,25,7
2,M,35,15
3,M,25,7
2,F,35,5
1,M,25,2
3,M,25,0
2,M,1,14
4,M,25,16
4,F,50,13
2,M,18,3
5,M,25,17
3,M,25,5
5,M,35,5
3,M,35,1
1,M,25,12
5,M,50,6
5,F,18,3
4,M,18,4
4,F,18,2
5,M,18,10
4,F,56,16
4,M,25,7
2,M,56,16
5,M,35,7
4,M,25,6
3,F,50,20
4,M,35,7
4,M,25,0
3,M,45,0
4,M,35,16
1,F,25,4
4,M,35,12
4,M,25,1
3,M,35,3
4,M,35,1
4,F,18,20
5,M,35,1
3,F,18,4
2,F,18,4
4,M,45,2
3,F,25,1
5,M,18,0
4,M,25,4
4,M,56,0
3,M,25,0
5,M,50,0
1,M,25,16
3,M,45,13
3,F,1,10
4,M,35,20
3,F,25,1
1,F,18,4
4,M,50,16
4,M,25,4
4,M,18,20
4,M,25,4
3,F,45,1
2,M,35,7
4,M,35,17
2,M,18,4
2,M,25,12
3,F,35,1
4,M,25,0
3,F,18,2
4,M,25,4
3,F,50,13
4,M,56,20
5,M,18,14
4,M,25,18
2,F,35,16
3,M,25,11
5,M,25,4
1,M,25,2
3,M,35,16
1,M,50,0
4,M,25,17
5,M,50,7
4,M,18,12
4,M,35,0
3,M,45,13
3,M,25,12
3,F,35,17
2,M,45,11
5,F,25,7
5,F,25,20
4,M,18,4
4,M,25,12
2,F,35,20
3,M,25,7
4,M,25,1
3,M,25,2
4,M,35,1
3,M,45,16
5,M,35,1
4,F,35,20
4,M,18,4
3,M,18,1
5,M,25,11
1,M,18,4
5,F,45,0
3,M,25,20
4,M,50,12
5,M,25,11
3,M,25,4
4,M,18,0
4,M,25,12
5,M,18,4
2,M,35,0
5,M,50,0
4,M,25,0
3,M,35,17
4,M,18,2
3,M,35,12
4,M,18,4
3,M,45,18
3,F,50,6
3,F,25,3
3,M,50,3
2,M,50,1
4,M,25,0
3,F,1,10
3,M,45,3
4,M,25,1
1,F,18,20
5,F,45,12
1,M,56,16
4,F,45,1
3,M,18,2
4,F,25,2
5,F,18,4
2,F,25,16
4,M,25,15
3,M,25,5
4,M,18,4
3,M,18,1
3,F,18,4
1,M,35,16
2,M,25,14
3,M,25,6
4,M,25,12
5,M,25,17
2,M,25,4
4,M,25,17
4,M,35,7
3,M,25,5
2,F,18,4
3,M,25,0
4,M,25,6
4,M,35,20
4,F,35,12
3,M,25,12
3,M,25,16
3,M,25,17
4,M,25,5
3,M,35,17
4,M,25,1
4,M,25,11
3,F,25,1
2,M,18,4
4,M,25,7
5,M,50,6
5,F,18,0
4,M,50,7
5,F,35,17
5,M,35,20
4,M,35,14
4,F,50,13
4,M,25,16
4,M,18,0
3,F,25,0
1,M,25,17
5,F,25,2
5,M,35,7
2,F,35,0
4,F,25,7
3,M,25,4
5,F,45,3
3,M,25,14
5,M,25,20
3,M,18,4
3,M,35,14
5,M,18,20
5,M,18,4
5,M,25,1
4,M,56,17
3,M,35,1
3,M,25,0
4,M,18,20
4,M,35,20
3,M,56,7
4,M,45,1
3,M,45,17
5,M,35,0
3,F,35,19
4,M,35,0
2,M,18,6
4,M,25,0
2,F,25,3
5,M,18,10
2,M,45,1
2,F,25,0
1,M,18,4
3,F,45,1
3,M,25,1
3,F,50,1
3,M,35,1
5,M,18,4
4,M,35,17
4,M,1,10
5,F,18,4
3,M,25,0
3,F,45,16
3,M,25,7
2,F,25,4
5,F,45,1
4,M,45,7
3,M,45,7
4,F,50,16
5,M,25,7
4,M,56,16
4,M,45,18
5,F,50,6
4,M,1,10
4,M,35,1
5,M,35,7
5,F,25,15
3,M,35,17
2,M,56,15
2,M,25,20
3,M,25,20
4,M,1,10
4,M,50,14
2,F,25,4
4,M,35,0
5,M,25,1
3,F,25,0
4,M,35,16
5,M,18,4
3,M,25,0
3,M,56,17
4,M,45,6
3,M,18,0
3,F,25,1
4,F,25,5
4,F,25,3
1,M,35,7
5,M,35,15
4,F,35,2
3,F,25,7
3,M,35,2
5,M,18,4
5,M,45,7
4,F,25,14
4,M,56,12
2,M,25,0
4,F,45,16
4,M,25,4
4,M,50,0
3,M,25,12
4,M,18,3
4,F,25,9
3,M,25,5
1,M,18,4
3,F,25,1
4,M,25,6
5,M,25,15
3,M,25,20
4,M,25,0
3,M,25,19
4,M,45,0
5,M,50,11
4,M,35,17
4,F,35,12
3,F,25,1
3,F,25,1
4,M,25,6
3,M,25,0
3,F,45,9
2,M,18,12
1,M,45,20
4,M,18,17
5,M,25,5
3,M,25,1
2,M,18,19
4,M,25,17
4,F,18,4
3,M,35,20
4,M,25,20
1,M,45,0
4,M,18,11
4,F,25,14
2,M,45,7
5,M,18,4
5,F,25,20
5,M,18,20
1,M,45,5
4,M,25,20
4,F,18,20
4,M,45,16
4,M,50,11
4,F,35,0
4,M,50,13
4,F,45,14
3,M,18,12
5,M,35,20
5,M,25,2
3,M,50,7
4,M,25,0
2,M,25,20
5,F,35,9
1,F,45,6
4,F,45,6
3,M,25,5
2,M,35,1
2,M,18,4
5,M,25,0
2,M,25,17
5,M,25,7
3,M,25,0
5,M,25,17
4,M,45,5
5,M,25,4
3,F,35,0
2,F,25,1
4,M,25,6
5,M,50,1
3,M,18,4
4,M,18,3
4,F,18,17
2,M,35,7
4,M,50,7
4,F,35,12
2,M,35,0
3,M,35,0
2,F,56,14
4,M,25,17
4,M,25,17
3,F,45,9
3,F,18,2
3,M,25,1
3,M,35,11
2,M,50,0
4,M,18,4
5,M,35,15
3,F,25,1
3,F,35,17
5,M,56,14
3,M,25,6
4,M,18,0
5,F,35,3
3,M,25,19
4,F,18,1
3,M,50,7
4,F,45,17
4,F,18,4
4,M,25,2
3,M,1,10
5,M,25,14
4,M,25,19
4,F,25,6
3,F,25,0
3,M,25,14
5,F,45,0
3,F,35,9
2,M,25,0
4,F,25,0
3,M,25,17
4,M,35,6
5,M,35,7
2,M,18,14
4,M,35,0
4,M,50,17
3,M,25,15
5,M,18,4
3,M,25,17
3,M,1,10
3,F,25,7
2,F,18,14
2,M,25,12
4,M,35,6
4,M,1,10
1,M,25,12
4,M,25,6
2,M,35,2
4,M,45,2
3,M,18,4
4,M,25,11
3,M,25,20
4,M,25,4
2,M,25,2
5,F,45,2
3,M,25,12
4,F,25,11
4,M,25,0
2,M,25,0
4,F,18,12
3,F,25,6
4,F,18,4
2,M,18,20
3,M,25,0
3,M,25,12
4,M,18,12
3,F,18,4
3,M,35,16
3,M,25,7
5,M,18,4
4,M,25,6
3,M,25,11
4,M,50,17
3,M,18,2
5,M,56,12
3,M,50,16
5,M,18,4
5,M,56,1
3,M,35,16
5,F,35,2
4,M,35,17
3,M,18,4
5,M,35,0
3,M,25,0
5,M,25,17
3,M,25,20
4,M,56,11
3,F,35,2
5,M,25,14
3,M,18,17
3,F,56,6
4,M,18,7
4,F,25,6
3,M,25,12
4,M,25,17
5,M,25,2
5,M,25,0
3,M,25,0
4,F,18,4
4,M,35,0
4,M,56,1
4,M,25,11
5,M,56,1
3,M,18,4
3,M,25,0
3,F,25,7
1,F,25,0
2,M,35,7
5,M,45,17
5,M,25,6
4,M,18,4
2,M,25,4
1,M,25,7
3,M,25,14
4,M,45,17
5,F,25,4
4,M,25,7
3,F,1,10
5,M,50,17
4,M,35,7
5,F,25,19
5,M,56,13
4,F,35,3
3,M,25,6
4,M,18,14
4,F,25,12
5,M,25,17
4,F,25,2
5,M,25,12
4,M,56,0
5,M,35,17
4,M,25,8
3,F,45,1
5,M,35,14
2,M,25,7
4,M,35,1
4,F,35,1
5,M,18,4
4,M,25,7
1,M,35,20
4,M,25,6
4,M,50,0
4,F,25,18
4,M,18,4
3,M,25,14
3,F,45,2
3,F,50,16
4,M,18,10
1,M,25,3
4,M,25,14
2,M,35,6
2,F,25,4
4,M,50,18
4,F,18,4
4,M,35,2
3,F,25,7
4,F,35,3
4,F,25,17
3,F,45,20
5,F,18,9
1,M,35,7
4,M,50,14
2,M,18,4
2,M,25,6
1,M,35,7
3,M,25,5
4,M,18,4
5,M,25,5
4,M,18,20
2,M,35,20
3,M,45,17
4,M,18,4
3,M,50,6
4,M,25,16
3,M,56,7
4,M,25,0
4,M,25,7
4,M,35,17
4,M,25,1
1,F,35,6
4,M,25,0
4,M,25,12
3,M,25,19
2,M,25,3
3,M,18,12
5,M,45,7
3,M,25,2
5,M,18,19
5,F,18,4
1,M,35,12
5,M,56,1
5,M,50,7
4,M,45,0
4,F,35,7
4,M,25,20
2,F,25,7
4,F,35,1
3,M,18,4
4,F,18,4
4,M,18,4
3,M,35,0
5,F,18,3
4,M,25,20
5,M,18,14
5,M,25,1
1,M,50,1
3,F,18,4
5,M,56,14
5,M,25,1
3,M,25,3
4,M,56,15
5,M,25,11
4,M,45,17
5,F,18,4
3,M,50,11
4,M,35,12
3,M,25,11
4,M,35,2
3,M,45,7
3,M,56,17
3,M,45,7
2,M,50,7
2,F,25,5
5,M,18,17
4,M,25,14
3,F,25,4
4,M,35,6
4,M,18,11
4,F,35,7
3,M,25,0
4,M,25,17
4,F,18,0
1,M,25,0
4,M,35,3
4,M,25,14
2,F,18,0
4,M,35,2
3,F,35,5
4,M,25,6
4,M,25,16
3,M,50,11
4,M,50,0
4,M,25,16
2,M,1,10
2,M,50,7
3,M,25,7
5,M,25,14
1,M,35,1
4,F,18,1
2,F,50,7
5,M,1,10
4,M,45,1
4,F,18,4
3,F,18,20
5,M,18,4
2,M,25,3
4,M,25,16
2,M,18,4
